رقم_الطلب,التاريخ,الشهر,الربع,المنتج,الفئة,المنطقة,قناة_البيع,الكمية,سعر_الوحدة,التكلفة,الخصم_%,الإيراد,الربح,اسم_العميل
ORD-1077,2024-10-30,2024-10,Q4,طابعة HP,طابعات,الجيزة,تليفون,6.0,4816.54,3249.29,0,28899.25,9403.54,عميل_32
ORD-1078,2024-08-25,2024-08,Q3,هاردسك WD,تخزين,الجيزة,فروع,10.0,1550.46,930.99,5,14729.34,5419.47,عميل_63
ORD-1079,2024-04-18,2024-04,Q2,كيبورد Logitech,إكسسوار,الجيزة,أونلاين,5.0,774.45,528.21,15,3291.43,650.36,عميل_67
ORD-1080,2024-04-07,2024-04,Q2,آيفون 15,موبايل,المنصورة,تليفون,4.0,26100.37,16268.01,0,104401.49,39329.43,عميل_58
ORD-1081,2024-01-09,2024-01,Q1,آيفون 15,موبايل,أسيوط,موزعين,5.0,23607.98,15434.14,0,118039.91,40869.19,عميل_61
ORD-1082,2024-10-10,2024-10,Q4,كاميرا Canon,كاميرات,الجيزة,تليفون,6.0,21672.22,14344.63,0,130033.3,43965.52,عميل_35
ORD-1083,2024-06-05,2024-06,Q2,طابعة HP,طابعات,أسيوط,فروع,4.0,4158.59,2407.36,0,16634.36,7004.94,عميل_25
ORD-1084,2024-04-20,2024-04,Q2,جهاز iPad,تابلت,أسيوط,موزعين,5.0,18808.51,13099.96,10,84638.28,19138.5,عميل_13
ORD-1085,2024-04-09,2024-04,Q2,طابعة HP,طابعات,أسيوط,فروع,4.0,4374.79,2604.49,15,14874.3,4456.34,عميل_36
ORD-1086,2024-01-24,2024-01,Q1,لابتوب Dell,لابتوب,المنصورة,أونلاين,9.0,14376.41,9942.92,15,109979.54,20493.27,عميل_2
ORD-1087,2024-10-20,2024-10,Q4,طابعة HP,طابعات,الجيزة,تليفون,8.0,4480.84,2693.46,0,35846.74,14299.05,عميل_15
ORD-1088,2024-02-03,2024-02,Q1,ماوس Razer,إكسسوار,الإسكندرية,فروع,8.0,1097.78,707.43,0,8782.24,3122.82,عميل_73
ORD-1089,2024-06-04,2024-06,Q2,آيفون 15,موبايل,أسيوط,فروع,4.0,23092.26,15348.65,10,83132.13,21737.53,عميل_100
ORD-1090,2024-09-24,2024-09,Q3,ماوس Razer,إكسسوار,المنصورة,موزعين,8.0,1298.04,771.82,10,9345.9,3171.34,عميل_73
ORD-1091,2024-11-13,2024-11,Q4,لابتوب Dell,لابتوب,الإسكندرية,موزعين,10.0,16380.33,9253.0,0,163803.26,71273.25,عميل_85
ORD-1092,2024-02-11,2024-02,Q1,سماعات Sony,إكسسوار,المنصورة,تليفون,4.0,3271.67,1836.26,0,13086.68,5741.65,عميل_89
ORD-1093,2024-10-31,2024-10,Q4,جهاز iPad,تابلت,المنصورة,أونلاين,5.0,16317.5,9679.8,0,81587.52,33188.52,عميل_88
ORD-1094,2024-04-29,2024-04,Q2,طابعة HP,طابعات,القاهرة,فروع,10.0,4645.06,3205.33,5,44128.12,12074.83,عميل_83
ORD-1095,2024-03-17,2024-03,Q1,طابعة HP,طابعات,أسيوط,موزعين,3.0,4114.27,2365.25,0,12342.81,5247.07,عميل_57
ORD-1096,2024-03-04,2024-03,Q1,جهاز iPad,تابلت,أسيوط,تليفون,5.0,18719.04,12942.37,10,84235.69,19523.83,عميل_57
ORD-1097,2024-02-11,2024-02,Q1,هاردسك WD,تخزين,الجيزة,أونلاين,1.0,1616.83,1067.4,10,1455.14,387.75,عميل_12
ORD-1098,2024-04-27,2024-04,Q2,هاردسك WD,تخزين,,أونلاين,10.0,1635.24,1144.56,15,13899.51,2453.9,عميل_98
ORD-1099,2024-03-30,2024-03,Q1,جهاز iPad,تابلت,أسيوط,تليفون,9.0,18545.43,12748.33,0,166908.91,52173.9,عميل_82
ORD-1100,2024-09-08,2024-09,Q3,آيفون 15,موبايل,القاهرة,فروع,8.0,24239.81,14543.79,15,164830.68,48480.34,عميل_43
ORD-1101,2024-07-29,2024-07,Q3,جهاز iPad,تابلت,القاهرة,تليفون,5.0,18585.3,11338.29,10,83633.85,26942.38,عميل_12
ORD-1102,2024-06-10,2024-06,Q2,طابعة HP,طابعات,القاهرة,تليفون,6.0,4154.33,2766.29,10,22433.38,5835.62,عميل_53
ORD-1103,2024-01-28,2024-01,Q1,شاشة Samsung,شاشات,المنصورة,أونلاين,9.0,7778.85,5161.0,15,59508.18,13059.14,عميل_27
ORD-1104,2024-05-16,2024-05,Q2,كاميرا Canon,كاميرات,المنصورة,أونلاين,3.0,23881.76,14704.42,15,60898.49,16785.24,عميل_4
ORD-1105,2024-11-18,2024-11,Q4,هاردسك WD,تخزين,أسيوط,تليفون,4.0,1562.93,932.47,0,6251.74,2521.87,عميل_12
ORD-1106,2024-04-25,2024-04,Q2,آيفون 15,موبايل,المنصورة,موزعين,8.0,27235.3,17625.5,0,217882.43,76878.41,عميل_66
ORD-1107,2024-12-27,2024-12,Q4,طابعة HP,طابعات,المنصورة,فروع,7.0,4801.25,3346.65,0,33608.76,10182.22,عميل_50
ORD-1108,2024-04-07,2024-04,Q2,هاردسك WD,تخزين,الجيزة,تليفون,9.0,1573.89,897.87,0,14164.99,6084.2,عميل_44
ORD-1109,2024-09-16,2024-09,Q3,طابعة HP,طابعات,أسيوط,تليفون,1.0,4304.56,2560.28,10,3874.1,1313.82,عميل_20
ORD-1110,2024-08-16,2024-08,Q3,كاميرا Canon,كاميرات,المنصورة,تليفون,8.0,21318.55,13490.11,10,153493.53,45572.64,عميل_42
ORD-1111,2024-04-06,2024-04,Q2,شاشة Samsung,شاشات,القاهرة,موزعين,10.0,7812.75,5300.19,5,74221.16,21219.29,عميل_96
ORD-1112,2024-08-30,2024-08,Q3,ماوس Razer,إكسسوار,الإسكندرية,تليفون,7.0,1317.22,881.03,15,7837.46,1670.22,عميل_5
ORD-1113,2024-03-05,2024-03,Q1,كاميرا Canon,كاميرات,القاهرة,تليفون,10.0,21260.78,12013.5,5,201977.38,81842.36,عميل_2
ORD-1114,2024-03-14,2024-03,Q1,ماوس Razer,إكسسوار,الجيزة,تليفون,3.0,1097.96,732.59,0,3293.88,1096.11,عميل_84
ORD-1115,2024-02-11,2024-02,Q1,كيبورد Logitech,إكسسوار,المنصورة,أونلاين,9.0,780.8,466.53,15,5973.13,1774.38,عميل_80
ORD-1116,2024-02-05,2024-02,Q1,شاشة Samsung,شاشات,القاهرة,أونلاين,5.0,8795.88,5823.01,5,41780.44,12665.41,عميل_57
ORD-1117,2024-03-26,2024-03,Q1,طابعة HP,طابعات,الجيزة,موزعين,1.0,4091.39,2738.87,0,4091.39,1352.53,عميل_56
ORD-1118,2024-03-15,2024-03,Q1,شاشة Samsung,شاشات,الإسكندرية,فروع,9.0,7859.28,5126.37,0,70733.55,24596.17,عميل_11
ORD-1119,2024-11-08,2024-11,Q4,ماوس Razer,إكسسوار,الإسكندرية,فروع,10.0,1243.95,777.03,10,11195.57,3425.22,عميل_60
ORD-1120,2024-11-22,2024-11,Q4,طابعة HP,طابعات,الجيزة,فروع,8.0,4279.79,2359.92,5,32526.43,13647.08,عميل_10
ORD-1121,2024-08-14,2024-08,Q3,كيبورد Logitech,إكسسوار,الجيزة,تليفون,10.0,767.86,533.13,15,6526.85,1195.53,عميل_39
ORD-1122,2024-04-11,2024-04,Q2,ماوس Razer,إكسسوار,أسيوط,موزعين,8.0,1105.6,671.32,0,8844.77,3474.19,عميل_90
ORD-1123,2024-05-31,2024-05,Q2,لابتوب Dell,لابتوب,القاهرة,تليفون,7.0,14323.44,9093.8,15,85224.47,21567.87,عميل_37
ORD-1124,2024-04-27,2024-04,Q2,هاردسك WD,تخزين,الإسكندرية,أونلاين,6.0,1415.7,819.01,0,8494.21,3580.14,عميل_81
ORD-1125,2024-11-26,2024-11,Q4,لابتوب Dell,لابتوب,الإسكندرية,أونلاين,5.0,15865.83,8805.61,0,79329.16,35301.1,عميل_38
ORD-1126,2024-06-16,2024-06,Q2,ماوس Razer,إكسسوار,أسيوط,موزعين,3.0,1128.19,753.61,0,3384.57,1123.76,عميل_22
ORD-1127,2024-05-11,2024-05,Q2,جهاز iPad,تابلت,المنصورة,أونلاين,5.0,18887.61,11347.82,0,94438.07,37698.99,عميل_19
ORD-1128,2024-04-25,2024-04,Q2,ماوس Razer,إكسسوار,الجيزة,أونلاين,9.0,1167.79,780.78,0,10510.07,3483.01,عميل_59
ORD-1129,2024-07-07,2024-07,Q3,طابعة HP,طابعات,القاهرة,فروع,10.0,4392.92,2836.87,0,43929.23,15560.51,عميل_61
ORD-1130,2024-01-13,2024-01,Q1,هاردسك WD,تخزين,القاهرة,تليفون,9.0,1448.4,929.17,15,11080.27,2717.77,عميل_90
ORD-1131,2024-06-03,2024-06,Q2,ماوس Razer,إكسسوار,المنصورة,أونلاين,2.0,1113.55,770.51,0,2227.09,686.08,عميل_13
ORD-1132,2024-04-30,2024-04,Q2,كاميرا Canon,كاميرات,أسيوط,تليفون,3.0,21510.04,13027.59,15,54850.61,15767.82,عميل_76
ORD-1133,2024-03-20,2024-03,Q1,ماوس Razer,إكسسوار,القاهرة,موزعين,2.0,1280.09,822.26,0,2560.17,915.65,عميل_28
ORD-1134,2024-08-15,2024-08,Q3,جهاز iPad,تابلت,الجيزة,موزعين,4.0,19279.62,10891.12,15,65550.71,21986.23,عميل_8
ORD-1135,2024-07-22,2024-07,Q3,طابعة HP,طابعات,القاهرة,فروع,4.0,4921.39,3407.33,5,18701.27,5071.95,عميل_83
ORD-1136,2024-11-23,2024-11,Q4,هاردسك WD,تخزين,أسيوط,فروع,1.0,1365.17,819.14,0,1365.17,546.03,عميل_9
ORD-1137,2024-10-10,2024-10,Q4,شاشة Samsung,شاشات,الإسكندرية,أونلاين,10.0,7545.52,5134.38,0,75455.22,24111.39,عميل_36
ORD-1138,2024-03-15,2024-03,Q1,سماعات Sony,إكسسوار,القاهرة,فروع,9.0,3325.46,1916.04,15,25439.75,8195.35,عميل_2
ORD-1139,2024-07-02,2024-07,Q3,شاشة Samsung,شاشات,الإسكندرية,تليفون,10.0,7718.03,4446.64,0,77180.34,32713.9,عميل_68
ORD-1140,2024-02-28,2024-02,Q1,آيفون 15,موبايل,القاهرة,تليفون,8.0,24741.38,14951.36,10,178137.91,58527.04,عميل_65
ORD-1141,2024-04-23,2024-04,Q2,هاردسك WD,تخزين,أسيوط,موزعين,1.0,1568.17,1076.26,15,1332.95,256.69,عميل_59
ORD-1142,2024-11-25,2024-11,Q4,لابتوب Dell,لابتوب,القاهرة,تليفون,1.0,16495.76,11169.19,5,15670.97,4501.78,عميل_92
ORD-1143,2024-08-15,2024-08,Q3,آيفون 15,موبايل,الجيزة,موزعين,2.0,24110.56,13797.27,0,48221.12,20626.58,عميل_49
ORD-1144,2024-11-01,2024-11,Q4,كاميرا Canon,كاميرات,القاهرة,فروع,5.0,21796.35,13967.41,0,108981.74,39144.71,عميل_56
ORD-1145,2024-08-19,2024-08,Q3,شاشة Samsung,شاشات,القاهرة,موزعين,7.0,7742.29,4784.93,5,51486.23,17991.74,عميل_55
ORD-1146,2024-06-09,2024-06,Q2,طابعة HP,طابعات,القاهرة,أونلاين,6.0,4908.23,3205.19,5,27976.93,8745.79,عميل_11
ORD-1147,2024-02-17,2024-02,Q1,ماوس Razer,إكسسوار,أسيوط,أونلاين,2.0,1258.7,762.64,0,2517.4,992.12,عميل_76
ORD-1148,2024-10-14,2024-10,Q4,كاميرا Canon,كاميرات,المنصورة,أونلاين,6.0,22748.06,13913.2,15,116015.1,32535.92,عميل_37
ORD-1149,2024-11-03,2024-11,Q4,طابعة HP,طابعات,المنصورة,فروع,6.0,4143.24,2594.13,0,24859.44,9294.65,عميل_14
ORD-1150,2024-06-28,2024-06,Q2,كاميرا Canon,كاميرات,المنصورة,أونلاين,6.0,20305.5,12016.49,0,121832.97,49734.02,عميل_78
ORD-1151,2024-12-02,2024-12,Q4,طابعة HP,طابعات,,موزعين,1.0,4212.37,2760.81,0,4212.37,1451.56,عميل_1
ORD-1152,2024-04-02,2024-04,Q2,سماعات Sony,إكسسوار,القاهرة,أونلاين,10.0,3610.14,2023.26,15,30686.2,10453.6,عميل_96
ORD-1153,2024-09-28,2024-09,Q3,شاشة Samsung,شاشات,الجيزة,موزعين,7.0,7871.73,4731.97,0,55102.12,21978.34,عميل_100
ORD-1154,2024-10-17,2024-10,Q4,هاردسك WD,تخزين,القاهرة,أونلاين,2.0,1615.0,925.94,10,2907.0,1055.12,عميل_35
ORD-1155,2024-08-14,2024-08,Q3,ماوس Razer,إكسسوار,أسيوط,أونلاين,8.0,1225.7,750.28,0,9805.59,3803.32,عميل_45
ORD-1156,2024-08-08,2024-08,Q3,آيفون 15,موبايل,الجيزة,أونلاين,5.0,25891.09,16543.63,10,116509.9,33791.74,عميل_29
ORD-1157,2024-07-21,2024-07,Q3,هاردسك WD,تخزين,الإسكندرية,موزعين,1.0,1352.31,804.91,0,1352.31,547.4,عميل_38
ORD-1158,2024-06-16,2024-06,Q2,آيفون 15,موبايل,المنصورة,فروع,1.0,24986.93,15356.92,0,24986.93,9630.01,عميل_65
ORD-1159,2024-10-13,2024-10,Q4,كيبورد Logitech,إكسسوار,القاهرة,تليفون,2.0,783.53,518.15,5,1488.71,452.4,عميل_10
ORD-1160,2024-06-09,2024-06,Q2,هاردسك WD,تخزين,الجيزة,أونلاين,7.0,1522.02,999.09,5,10121.43,3127.79,عميل_52
ORD-1161,2024-01-11,2024-01,Q1,كيبورد Logitech,إكسسوار,الجيزة,أونلاين,3.0,848.21,545.16,15,2162.94,527.45,عميل_56
ORD-1162,2024-02-24,2024-02,Q1,شاشة Samsung,شاشات,الجيزة,موزعين,7.0,8142.19,5118.14,5,54145.59,18318.63,عميل_29
ORD-1163,2024-06-19,2024-06,Q2,سماعات Sony,إكسسوار,الإسكندرية,موزعين,2.0,3507.34,1989.03,10,6313.21,2335.16,عميل_45
ORD-1164,2024-11-26,2024-11,Q4,سماعات Sony,إكسسوار,أسيوط,فروع,4.0,3221.96,1895.79,0,12887.85,5304.7,عميل_98
ORD-1165,2024-12-01,2024-12,Q4,آيفون 15,موبايل,أسيوط,تليفون,3.0,27256.46,17558.4,5,77680.91,25005.71,عميل_88
ORD-1166,2024-10-16,2024-10,Q4,هاردسك WD,تخزين,المنصورة,أونلاين,6.0,1609.27,1036.51,0,9655.64,3436.61,عميل_61
ORD-1167,2024-08-14,2024-08,Q3,طابعة HP,طابعات,الجيزة,تليفون,5.0,4582.28,2762.16,0,22911.39,9100.6,عميل_58
ORD-1168,2024-01-20,2024-01,Q1,لابتوب Dell,لابتوب,أسيوط,تليفون,6.0,15995.09,8981.4,0,95970.54,42082.16,عميل_60
ORD-1169,2024-10-24,2024-10,Q4,كاميرا Canon,كاميرات,الإسكندرية,موزعين,1.0,21778.83,14623.88,15,18512.0,3888.12,عميل_78
ORD-1170,2024-08-31,2024-08,Q3,كاميرا Canon,كاميرات,القاهرة,فروع,3.0,24013.98,14830.52,0,72041.94,27550.39,عميل_6
ORD-1171,2024-05-06,2024-05,Q2,جهاز iPad,تابلت,الجيزة,موزعين,8.0,18086.65,11602.06,0,144693.17,51876.73,عميل_50
ORD-1172,2024-07-28,2024-07,Q3,كيبورد Logitech,إكسسوار,القاهرة,موزعين,10.0,728.38,469.54,0,7283.78,2588.42,عميل_13
